#Org.,Prog.,Econ.,Denominación,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
10.0,0111,31000.0,Intereses,10.0,,3.0,3100000.0,,3100000.0,2228850.6
10.0,0111,91300.0,Amortización de préstamos a medio y largo plazo de fuera del sector público,10.0,,9.0,11233789.99,,11233789.99,9463232.65
10.0,9201.0,21300.0,"Maquinaria, instalaciones técnicas y utillaje",10.0,9.0,2.0,10000.0,,10000.0,8347.85
10.0,9201.0,21500.0,Mobiliario,10.0,9.0,2.0,500.0,,500.0,
10.0,9201.0,22000.0,Ordinario no inventariable,10.0,9.0,2.0,30000.0,,30000.0,15290.55
10.0,9201.0,22001.0,"Prensa, revistas, libros y otras publicaciones",10.0,9.0,2.0,15000.0,,15000.0,16059.9
10.0,9201.0,22200.0,Administración General.Servicios de Telecomunicaciones,10.0,9.0,2.0,,,,15.11
10.0,9201.0,22201.0,Postales,10.0,9.0,2.0,2000.0,,2000.0,51.05
10.0,9201.0,22202.0,Telegráficas,10.0,9.0,2.0,500.0,,500.0,41.82
10.0,9201.0,22400.0,Primas de seguros de edificios y locales,10.0,9.0,2.0,80000.0,,80000.0,66635.37
10.0,9201.0,22401.0,Primas de seguros de vehículos,10.0,9.0,2.0,130000.0,,130000.0,83051.93
10.0,9201.0,22402.0,Primas de seguros por Responsabilidad Civil,10.0,9.0,2.0,98000.0,,98000.0,88874.42
10.0,9201.0,22403.0,Primas de seguros otros riesgos,10.0,9.0,2.0,25000.0,,25000.0,9213.83
10.0,9201.0,22601.0,Atenciones protocolarias y representativas,10.0,9.0,2.0,,,,23.37
10.0,9201.0,22799.0,Otros trabajos realizados por otras empresas y profesionales,10.0,9.0,2.0,50000.0,,50000.0,35364.02
10.0,9201.0,23120.0,Del personal no directivo,10.0,9.0,2.0,1000.0,,1000.0,595.9
10.0,9201.0,62500.0,Administración General Mobiliario,10.0,9.0,6.0,100000.0,,100000.0,15039.96
10.0,9201.0,62599.0,Nuevo puesto adminsitrador de turnos OAC,10.0,9.0,6.0,,147286.51,147286.51,147286.51
10.0,9201.0,62602.0,Administración General Equipos ofimáticos,10.0,9.0,6.0,100000.0,,100000.0,
10.0,9311.0,10100.0,"Presupuestos, Contabilidad y Gestión Financiera Retribuciones básicas",10.0,9.0,1.0,75535.32,,75535.32,52245.26
10.0,9311.0,10101.0,"Presupuestos, Contabilidad y Gestión Financiera.Otras remuneraciones",10.0,9.0,1.0,,,,4196.98
10.0,9311.0,12000.0,Sueldos del Grupo A1,10.0,9.0,1.0,47882.24,,47882.24,74284.31
10.0,9311.0,12003.0,Sueldos del Grupo C1,10.0,9.0,1.0,30240.84,,30240.84,29654.52
10.0,9311.0,12006.0,Trienios,10.0,9.0,1.0,23807.28,,23807.28,25453.02
10.0,9311.0,12100.0,Complemento de destino,10.0,9.0,1.0,51710.87,,51710.87,67360.33
10.0,9311.0,12101.0,Complemento específico,10.0,9.0,1.0,127889.01,,127889.01,154061.3
10.0,9311.0,13000.0,Retribuciones básicas,10.0,9.0,1.0,489680.71,,489680.71,457954.2
10.0,9311.0,13001.0,"Presupuestos, Contabilidad y Gestión Financiera.Horas extraordinarias",10.0,9.0,1.0,,,,825.0
10.0,9311.0,13002.0,Otras remuneraciones,10.0,9.0,1.0,57326.32,,57326.32,39450.14
10.0,9311.0,16000.0,"Presupuestos, Contabilidad y Gestión Financiera Seguridad Social",10.0,9.0,1.0,253518.86,,253518.86,252793.34
10.0,9311.0,21300.0,"Maquinaria, instalaciones técnicas y utillaje",10.0,9.0,2.0,500.0,,500.0,
10.0,9311.0,21500.0,Mobiliario,10.0,9.0,2.0,200.0,,200.0,
10.0,9311.0,22000.0,Ordinario no inventariable,10.0,9.0,2.0,1000.0,,1000.0,134.62
10.0,9311.0,22001.0,"Prensa, revistas, libros y otras publicaciones",10.0,9.0,2.0,1000.0,,1000.0,
10.0,9311.0,22501.0,"Presupuestos, Contabilidad y Gestión Financiera.Tributos de las Comunidades Autónomas",10.0,9.0,2.0,,,,1200.0
10.0,9311.0,22603.0,Publicación en Diarios Oficiales,10.0,9.0,2.0,100000.0,,100000.0,1389.7
10.0,9311.0,22706.0,Estudios y trabajos técnicos,10.0,9.0,2.0,8000.0,,8000.0,3245.0
10.0,9311.0,23010.0,Del personal directivo,10.0,9.0,2.0,50.0,,50.0,
10.0,9311.0,23020.0,Del personal no directivo,10.0,9.0,2.0,50.0,,50.0,
10.0,9311.0,23110.0,Del personal directivo,10.0,9.0,2.0,50.0,,50.0,
10.0,9311.0,23120.0,Del personal no directivo,10.0,9.0,2.0,50.0,,50.0,
10.0,9311.0,35200.0,Intereses de demora,10.0,9.0,3.0,400000.0,,400000.0,339875.94
10.0,9312.0,12000.0,Sueldos del Grupo A1,10.0,9.0,1.0,31674.47,,31674.47,28103.1
10.0,9312.0,12003.0,Sueldos del Grupo C1,10.0,9.0,1.0,10080.28,,10080.28,9884.84
10.0,9312.0,12004.0,Sueldos del Grupo C2,10.0,9.0,1.0,33893.58,,33893.58,32653.32
10.0,9312.0,12006.0,Trienios,10.0,9.0,1.0,11719.68,,11719.68,11056.61
10.0,9312.0,12009.0,Fiscalización.Otras retribuciones básicas,10.0,9.0,1.0,,,,1256.81
10.0,9312.0,12100.0,Complemento de destino,10.0,9.0,1.0,50229.86,,50229.86,47906.49
10.0,9312.0,12101.0,Complemento específico,10.0,9.0,1.0,144277.8,,144277.8,142002.0
10.0,9312.0,13000.0,Retribuciones básicas,10.0,9.0,1.0,90603.42,,90603.42,92633.55
10.0,9312.0,13001.0,Fiscalización.Horas extraordinarias,10.0,9.0,1.0,,,,257.0
10.0,9312.0,13002.0,Otras remuneraciones,10.0,9.0,1.0,6781.1,,6781.1,4928.41
10.0,9312.0,16000.0,Fiscalización Seguridad Social,10.0,9.0,1.0,97661.33,,97661.33,91922.74
10.0,9312.0,21300.0,"Maquinaria, instalaciones técnicas y utillaje",10.0,9.0,2.0,100.0,,100.0,
