#Ejercicio,Org.,Econ.,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2012,,10000,Participación Impuestos sobre la Renta Personas Físicas,2969250.0,,2969250.0,2828544.78
2012,,10010,Impuestos sobre la Renta de las Personas Físicas Liq. Definitiva 2010,,,,93177.96
2012,,11200,Impuesto sobre Bienes Inmuebles de Naturaleza Rústica,15400.0,,15400.0,135247.1
2012,,11300,Impuesto sobre Bienes Inmuebles de Naturaleza Urbana,29700000.0,,29700000.0,30442473.49
2012,,11500,Impuesto sobre Vehículos de Tracción Mecánica,12870000.0,,12870000.0,11636060.18
2012,,11600,Impuestos sobre el Incremento del Valor de los Terrenos de Naturaleza Urbana,3575000.0,,3575000.0,4020887.63
2012,,13000,Impuestos sobre Actividades Económicas,4180000.0,,4180000.0,4773422.4
2012,,21000,Cesión relativa al Impuesto del Valor Añadido,3076270.0,,3076270.0,1806789.04
2012,,21010,Cesion relativa al Impuesto del Valor Añadido Liq. Definitiva 2010,,,,1279117.25
2012,,22000,Impuesto sobre el alcohol y bebidas derivadas,50870.0,,50870.0,25446.44
2012,,22001,Impuesto sobre la cerveza,17960.0,,17960.0,8862.06
2012,,22003,Impuesto sobre las labores del tabaco,358080.0,,358080.0,238785.15
2012,,22004,Impuesto sobre hidrocarburos,425260.0,,425260.0,253607.4
2012,,22006,Impuesto sobre productos intermedios,1180.0,,1180.0,608.4
2012,,22010,Impuesto sobre el Alcohol y bebidas derivadas Liq. Definitiva 2010,,,,989.11
2012,,22011,Impuesto sobre la cerveza Liq. Definitiva 2010,,,,1779.15
2012,,29000,"Impuesto sobre Construcciones, Instalaciones y Obras",11150000.0,,11150000.0,4996764.28
2012,,30100,Tasas servicio alcantarillado,330000.0,,330000.0,2061517.66
2012,,32100,Tasa por Licencias Urbanísticas,7601770.0,,7601770.0,4393550.61
2012,,32500,Tasa por Expedición de Documentos,42900.0,,42900.0,79726.92
2012,,32600,Tasa por retirada de vehículos,330000.0,,330000.0,305841.33
2012,,32900,Tasa por prestación del servicio de extinción de incendios,51700.0,,51700.0,76167.34
2012,,32901,Tasa por la retirada de contenedores de la vía pública,1100.0,,1100.0,
2012,,32902,Tasas por autorización administva y registro  animales potencialmente peligrosos,5720.0,,5720.0,13359.75
2012,,32903,Tasa por Licencias de Apertura de establecimientos,710000.0,,710000.0,1127855.53
2012,,32904,Utilización de instalaciones municipales para celebración matrimonios,34100.0,,34100.0,33184.42
2012,,32905,Proteccion de animales domesticos y/o de compañia,,,,214.6
2012,,33100,Tasa por entrada vehículos a través de aceras y reservas de vía pública,715000.0,,715000.0,458251.87
2012,,33200,"Tasa ocupación subsuelo, vuelo y suelo de terrenos de uso público",2750000.0,,2750000.0,1626612.78
2012,,33300,"Tasa por ocupación de subsuelo, vuelo y suelo de terrenos de uso público",873130.0,,873130.0,478141.68
2012,,33400,"Tasa apertura zanjas, calicatas y calas en terrenos uso público",33000.0,,33000.0,25013.28
2012,,33500,Tasa por ocupación de terrenos de uso público con finalidad lucrativa,511500.0,,511500.0,469519.47
2012,,33900,Tasa por instalación Quioscos en Vía Pública,17820.0,,17820.0,15953.63
2012,,33901,"Tasa ocupación vía pública con puestos, barracas, casetas, espectáculos.",220000.0,,220000.0,127764.19
2012,,33902,"Tasa por ocupación con mercancía, materiales construcción, escombros, vallas",55000.0,,55000.0,42271.51
2012,,33903,Tasa ocupación de terrenos uso público con soportes publicitarios,157623.0,,157623.0,142009.94
2012,,33904,Otras ocupaciones de terrenos de uso público,82500.0,,82500.0,67375.55
2012,,34100,Programa Ayuda a Domicilio,176000.0,,176000.0,169028.23
2012,,34101,Comedor para Desempleados,5500.0,,5500.0,6422.0
2012,,34102,Servicios de sanidad y atención a animales abandonados,1870.0,,1870.0,2849.68
2012,,34103,Servicio teleasistencia,45210.0,,45210.0,37674.0
2012,,34104,Servicio comida a domicilio,55000.0,,55000.0,42630.47
2012,,34200,Precio Público apertura de colegios en días no lectivos,105050.0,,105050.0,82380.0
2012,,34201,"Precio Público por programa ""colonias de verano medioambientales""",22000.0,,22000.0,
2012,,34202,Precio Público por derechos de matrícula y de examen del Conservatorio Municipal,96910.0,,96910.0,152078.0
2012,,34300,Actividades Deportivas,1749253.0,,1749253.0,1014290.3
2012,,34301,Campus deportivo,57200.0,,57200.0,39871.16
2012,,34302,Piscinas,479061.0,,479061.0,344354.1
2012,,34303,Campeonatos Municipales,224741.0,,224741.0,192932.3
2012,,34304,Alquiler instalaciones deportivas,310411.0,,310411.0,166629.24
2012,,34400,Precio Público por la prestación de Servicios Culturales,235785.0,,235785.0,265045.17
2012,,34900,Programas Área de Juventud,77000.0,,77000.0,19143.0
2012,,34901,Otros Precios Públicos diversos,33000.0,,33000.0,23998.92
2012,,38900,Reintegros Presupuestos Cerrados,99000.0,,99000.0,14508.18
2012,,38901,Reintegros de anuncios a cargo de particulares,85800.0,,85800.0,1008.1
2012,,38902,Obras o Instalaciones a cargo de particulares,33000.0,,33000.0,
2012,,38903,Reintegro por Transporte Tercera Edad,3300.0,,3300.0,616.0
2012,,39100,Multas por infracciones urbanísticas,250000.0,,250000.0,
2012,,39110,Multas por infracciones tributarias y análogas,761200.0,,761200.0,1195078.36
2012,,39120,Multas por infracciones de la Ordenanza de circulación,2915000.0,,2915000.0,2614004.43
2012,,39190,Otras multas y sanciones,495000.0,,495000.0,800711.39
2012,,39211,Recargo de apremio,770000.0,,770000.0,906633.06
2012,,39300,Intereses de demora,550000.0,,550000.0,907756.08
2012,,39610,Cuotas de urbanización,110000.0,,110000.0,
2012,,39700,Canon por aprovechamientos urbanísticos,9549527.0,,9549527.0,360009.0
2012,,39900,Otros ingresos varios,55000.0,1289761.96,1344761.96,1822858.75
2012,,39901,Recursos eventuales,1100.0,,1100.0,
2012,,39902,Recogida selectiva de Residuos Sólidos Envases,568700.0,,568700.0,505457.93
2012,,39903,Recogida Selectiva Papel y Cartón,126500.0,,126500.0,133163.31
2012,,39904,Publicidad recogida selectiva,22000.0,,22000.0,
2012,,39905,Energía solar fotovoltaica,12100.0,,12100.0,
2012,,39906,Convenio residuos eléctricos y electrónicos,12100.0,,12100.0,861.91
2012,,42010,Fondo Complementario de Financiación,38318130.0,,38318130.0,38326056.6
2012,,42011,Fondo Complementario de Financiacion Liq. Definitiva Ejercicio 2010,,2589500.0,2589500.0,5160033.41
2012,,42091,Programa tratamiento de la drogodependencia,26400.0,,26400.0,68746.0
2012,,42190,De otros Organismos Autónomos y Agencias,49500.0,,49500.0,26042.33
2012,,45002,Transferencias corrientes en cumplimiento de convenios suscritos con la Comunidad Autónoma en materia de Servicios Sociales y Políticas de Igualdad,5910261.0,,5910261.0,5440834.83
2012,,45030,Transferencias corrientes en cumplimiento de convenios suscritos con la Comunidad Autónoma en materia de Educación,2924674.0,,2924674.0,2274956.85
2012,,45060,Otras transferencias corrientes convenios con la Comunidad Autónoma,200217.0,,200217.0,152547.49
2012,,45081,Otras subvenciones corrientes de la Comunidad Autónoma: BESCAM,7650000.0,,7650000.0,6934313.3
2012,,47000,De Empresas privadas,,,,4275.0
2012,,48000,Otras transferencias corrientes de particulares,6600.0,,6600.0,
