#Ejercicio,Org.,Econ.,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2015,,10000,Participación Impuestos sobre la Renta Personas Físicas,2845220.0,,2845220.0,1422609.24
2015,,11200,Impuesto sobre Bienes Inmuebles de Naturaleza Rústica,60000.0,,60000.0,
2015,,11300,Impuesto sobre Bienes Inmuebles de Naturaleza Urbana,40160000.0,,40160000.0,39796488.07
2015,,11500,Impuesto sobre Vehículos de Tracción Mecánica,10300000.0,,10300000.0,10087126.42
2015,,11600,Impuestos sobre el Incremento del Valor de los Terrenos de Naturaleza Urbana,5500000.0,,5500000.0,3807183.58
2015,,13000,Impuestos sobre Actividades Económicas,4700000.0,,4700000.0,580757.55
2015,,21000,Cesión relativa al Impuesto del Valor Añadido,4020930.0,,4020930.0,2016029.44
2015,,22000,Impuesto sobre el alcohol y bebidas derivadas,46680.0,,46680.0,23406.06
2015,,22001,Impuesto sobre la cerveza,16510.0,,16510.0,8278.56
2015,,22003,Impuesto sobre las labores del tabaco,346220.0,,346220.0,173109.2
2015,,22004,Impuesto sobre hidrocarburos,461660.0,,461660.0,232967.34
2015,,22006,Impuesto sobre productos intermedios,990.0,,990.0,495.24
2015,,29000,"Impuesto sobre Construcciones, Instalaciones y Obras",6893000.0,,6893000.0,1089948.31
2015,,30100,Tasas servicio alcantarillado,1000.0,,1000.0,67083.04
2015,,30200,Recogida y Gestión Residuos Solidos Urbanos,3000000.0,,3000000.0,8557.73
2015,,31100,Servicios asistenciales,,,,5070.0
2015,,32100,Tasa por Licencias Urbanísticas,4061800.0,,4061800.0,523647.09
2015,,32500,Tasa por Expedición de Documentos,100000.0,,100000.0,76583.27
2015,,32600,Tasa por retirada de vehículos,225000.0,,225000.0,160060.01
2015,,32900,Tasa por prestación del servicio de extinción de incendios,60000.0,,60000.0,28759.5
2015,,32902,Tasas por autorización administva y registro  animales potencialmente peligrosos,12000.0,,12000.0,3219.96
2015,,32903,Tasa por Licencias de Apertura de establecimientos,1000000.0,,1000000.0,256626.93
2015,,32904,Utilización de instalaciones municipales para celebración matrimonios,25000.0,,25000.0,16292.28
2015,,32905,Proteccion de animales domesticos y/o de compañia,,,,73.17
2015,,33100,Tasa por entrada vehículos a través de aceras y reservas de vía pública,510000.0,,510000.0,13477.71
2015,,33200,"Tasa ocupación subsuelo, vuelo y suelo de terrenos de uso público",2000000.0,,2000000.0,845624.77
2015,,33300,"Tasa por ocupación de subsuelo, vuelo y suelo de terrenos de uso público",450000.0,,450000.0,
2015,,33400,"Tasa apertura zanjas, calicatas y calas en terrenos uso público",20000.0,,20000.0,1824.5
2015,,33500,Tasa por ocupación de terrenos de uso público con finalidad lucrativa,650000.0,,650000.0,585949.04
2015,,33900,Tasa por instalación Quioscos en Vía Pública,17000.0,,17000.0,
2015,,33901,"Tasa ocupación vía pública con puestos, barracas, casetas, espectáculos.",120000.0,,120000.0,116317.08
2015,,33902,"Tasa por ocupación con mercancía, materiales construcción, escombros, vallas",160000.0,,160000.0,37243.98
