#Org.,Prog.,Econ.,Denominación,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales
10.0,111.0,31000.0,Intereses,10.0,,3.0,2655400.0
10.0,111.0,91300.0,Amortización de préstamos a medio y largo plazo de fuera del sector público,10.0,,9.0,15109373.52
10.0,9201.0,10101.0,Administración General Otras remuneraciones,10.0,9.0,1.0,28834.02
10.0,9201.0,11002.0,Administración General Otras remuneraciones,10.0,9.0,1.0,21269.01
10.0,9201.0,12003.0,Administración General Sueldos del Grupo C1,10.0,9.0,1.0,10080.28
10.0,9201.0,12006.0,Administración General Trienios,10.0,9.0,1.0,4317.46
10.0,9201.0,12009.0,Administración General Otras retribuciones básicas,10.0,9.0,1.0,325845.85
10.0,9201.0,12100.0,Administración General Complemento de destino,10.0,9.0,1.0,6626.9
10.0,9201.0,12101.0,Administración General Complemento específico,10.0,9.0,1.0,9590.56
10.0,9201.0,13000.0,Administración General Retribuciones básicas,10.0,9.0,1.0,52927.98
10.0,9201.0,13002.0,Administración General Otras remuneraciones,10.0,9.0,1.0,474070.21
10.0,9201.0,13102.0,Administración General Otras remuneraciones,10.0,9.0,1.0,9044.05
10.0,9201.0,14302.0,Administración General Otras remuneraciones,10.0,9.0,1.0,13552.57
10.0,9201.0,16000.0,Administración General Seguridad Social,10.0,9.0,1.0,28071.15
10.0,9201.0,22000.0,Ordinario no inventariable,10.0,9.0,2.0,35000.0
10.0,9201.0,22001.0,"Prensa, revistas, libros y otras publicaciones",10.0,9.0,2.0,6000.0
10.0,9201.0,22400.0,Primas de seguros de edificios y locales,10.0,9.0,2.0,61000.0
10.0,9201.0,22401.0,Primas de seguros de vehículos,10.0,9.0,2.0,70000.0
10.0,9201.0,22402.0,Primas de seguros por Responsabilidad Civil,10.0,9.0,2.0,58000.0
10.0,9201.0,22403.0,Administración General Primas de seguros otros riesgos,10.0,9.0,2.0,14000.0
10.0,9201.0,22799.0,Otros trabajos realizados por otras empresas y profesionales,10.0,9.0,2.0,8000.0
10.0,9201.0,23120.0,Del personal no directivo,10.0,9.0,2.0,500.0
10.0,9291.0,50000.0,Administración General-Fondo de Contingencia de Ejecución Presupuestaria Fondo de Contingencia,10.0,9.0,5.0,1000000.0
10.0,9311.0,10100.0,"Presupuestos, Contabilidad y Gestión Financiera Retribuciones básicas",10.0,9.0,1.0,78256.92
10.0,9311.0,12000.0,Sueldos del Grupo A1,10.0,9.0,1.0,54964.52
10.0,9311.0,12003.0,Sueldos del Grupo C1,10.0,9.0,1.0,20160.56
10.0,9311.0,12006.0,Trienios,10.0,9.0,1.0,15611.12
10.0,9311.0,12100.0,Complemento de destino,10.0,9.0,1.0,45345.26
10.0,9311.0,12101.0,Complemento específico,10.0,9.0,1.0,96793.83
10.0,9311.0,13000.0,Retribuciones básicas,10.0,9.0,1.0,300862.66
